Name                                                                                                          Stmts   Miss  Cover
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/intervalmath/interval_arithmetic.py           265    233    12%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/intervalmath/interval_membership.py            41     27    34%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/intervalmath/lib_interval.py                  285    259     9%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/plot.py                                       866    738    15%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/plot_implicit.py                              171    148    13%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/pygletplot/__init__.py                          5      2    60%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/plotting/textplot.py                                    87     78    10%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/__init__.py                                       19      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/agca/__init__.py                                   2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/agca/extensions.py                               198    141    29%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/agca/homomorphisms.py                            185    132    29%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/agca/ideals.py                                   130     79    39%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/agca/modules.py                                  436    303    31%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/appellseqs.py                                     54     15    72%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/compatibility.py                                 973    455    53%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/constructor.py                                   211     66    69%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/densearith.py                                    590    155    74%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/densebasic.py                                    568    185    67%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/densetools.py                                    423    110    74%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domainmatrix.py                                    2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/__init__.py                               28      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/algebraicfield.py                        148     46    69%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/characteristiczero.py                      7      1    86%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/complexfield.py                           92     27    71%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/compositedomain.py                        18      9    50%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/domain.py                                396    144    64%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/domainelement.py                           6      1    83%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/expressiondomain.py                      153     35    77%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/expressionrawdomain.py                    33      6    82%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/field.py                                  41     14    66%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/finitefield.py                            70     35    50%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/fractionfield.py                         107     26    76%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/gaussiandomains.py                       263     52    80%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/gmpyfinitefield.py                         8      1    88%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/gmpyintegerring.py                        55     27    51%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/gmpyrationalfield.py                      52     24    54%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/groundtypes.py                            31      4    87%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/integerring.py                            82     20    76%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/modularinteger.py                        133     87    35%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/mpelements.py                            121     58    52%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/old_fractionfield.py                      95     57    40%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/old_polynomialring.py                    182    116    36%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/polynomialring.py                        116     32    72%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/pythonfinitefield.py                       8      1    88%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/polys/domains/pythonintegerring.py                      50     24    52%
